@relation dataTest

@attribute x1 numeric
@attribute x2 numeric
@attribute class {a,c,e}

@data
0.975473,0.863308,e
0.667029,0.421429,c
0.979232,0.38194,c
0.786408,0.624713,c
0.570561,0.046493,c
0.626474,0.186109,c
0.163175,0.464677,c
0.146259,0.125458,e
0.810171,0.993043,e
0.569112,0.461783,c
0.750598,0.091951,a
0.086522,0.925337,a
0.311812,0.818947,c
0.894835,0.649254,c
0.947357,0.820203,e
0.804109,0.18892,c
0.639207,0.27529,c
0.928667,0.301334,a
0.362689,0.396378,c
0.226458,0.641643,c
0.049761,0.517513,c
0.821315,0.980697,e
0.123424,0.060176,e
0.494762,0.222328,c
0.37307,0.210689,c
0.69325,0.392077,c
0.647527,0.384244,c
0.233253,0.216924,e
0.84525,0.539226,c
0.141629,0.27214,e
0.820298,0.542505,c
0.665372,0.75203,c
0.940865,0.626618,e
0.245731,0.450976,c
0.763373,0.637728,e
0.366103,0.504884,c
0.005524,0.367661,c
0.933672,0.357468,c
0.703764,0.651218,c
0.828952,0.677605,c
0.12932,0.280111,e
0.951059,0.608848,c
0.145092,0.365032,e
0.377769,0.954511,c
0.451297,0.624506,c
0.461101,0.439355,c
0.782301,0.100573,a
0.357451,0.285929,c
0.722672,0.653171,c
0.102968,0.436366,c
0.01499,0.869473,a
0.765847,0.928128,e
0.790815,0.933887,e
0.315829,0.125151,e
0.979685,0.756455,e
0.681297,0.572823,c
0.491221,0.827432,c
0.854661,0.096273,a
0.745771,0.582525,c
0.373918,0.937314,c
0.630021,0.614427,c
0.639987,0.322913,c
0.096062,0.003713,e
0.050255,0.587806,c
0.443297,0.01295,c
0.228147,0.751299,c
0.456081,0.227287,c
0.266481,0.285767,c
0.602584,0.924808,c
0.104211,0.350903,c
0.275802,0.004566,e
0.719745,0.35973,c
0.499913,0.20966,c
0.44396,0.4108,c
0.821609,0.274302,c
0.611816,0.259771,c
0.063794,0.70981,c
0.584971,0.400266,c
0.190716,0.467518,c
0.678639,0.751431,e
0.097506,0.907985,a
0.154078,0.359871,c
0.367263,0.69624,c
0.395872,0.750201,c
0.108452,0.372874,c
0.61684,0.038888,c
0.151697,0.708233,a
0.387894,0.383152,c
0.75358,0.887777,e
0.766685,0.115499,c
0.133711,0.620846,c
0.929691,0.262387,c
0.862743,0.037397,c
0.051039,0.091266,e
0.657289,0.347052,c
0.284689,0.233444,e
0.267272,0.175816,c
0.465956,0.533837,c
0.244704,0.966944,a
0.23145,0.512934,c
0.687533,0.706721,c
0.799146,0.662665,c
0.673355,0.188,c
0.325534,0.068489,c
0.961391,0.449995,c
0.198819,0.558573,c
0.533461,0.726338,c
0.328416,0.676489,c
0.832375,0.936508,e
0.589946,0.79983,c
0.810486,0.613703,c
0.137196,0.109357,e
0.360142,0.023781,e
0.789467,0.701252,e
0.357937,0.809621,c
0.605944,0.545711,c
0.630193,0.804505,c
0.772549,0.013859,c
0.435848,0.322343,c
0.854914,0.953751,e
0.504923,0.67942,c
0.166664,0.867093,a
0.01018,0.362857,e
0.576996,0.293612,c
0.402297,0.482221,c
0.09403,0.931654,a
0.483933,0.469746,c
0.415567,0.681335,c
0.367985,0.923304,c
0.44143,0.026056,c
0.438612,0.136737,c
0.220802,0.800171,c
0.500294,0.414684,c
0.152564,0.603528,c
0.98179,0.906838,e
0.805298,0.610581,c
0.527011,0.693468,c
0.929856,0.912739,e
0.183343,0.035291,e
0.823644,0.259817,c
0.127118,0.659536,c
0.42627,0.364101,c
0.255831,0.909555,c
0.179012,0.627565,c
0.963021,0.006003,a
0.585538,0.704703,c
0.780511,0.865107,e
0.323473,0.391294,e
0.452632,0.099148,c
0.012846,0.907947,a
0.570207,0.460214,c
0.033328,0.652138,a
0.469343,0.593608,c
0.937458,0.634868,e
0.495359,0.159356,c
0.518533,0.839703,c
0.638001,0.057185,a
0.410789,0.471123,c
0.971819,0.560523,c
0.032154,0.904475,a
0.908825,0.695015,e
0.756522,0.822571,e
0.327872,0.884628,c
0.418508,0.478115,c
0.723049,0.609244,c
0.876207,0.234912,c
0.686428,0.422594,c
0.547941,0.166277,c
0.612768,0.049881,c
0.515002,0.55133,c
0.429468,0.258238,c
0.725548,0.829332,e
0.133497,0.535762,c
0.158531,0.499098,c
0.731616,0.955138,e
0.48918,0.689796,c
0.113958,0.8397,c
0.754069,0.885574,e
0.556947,0.85845,c
0.999411,0.004154,a
0.869158,0.051887,c
0.466138,0.068111,c
0.723032,0.476903,c
0.705969,0.199005,c
0.31343,0.752488,c
0.650724,0.464321,c
0.945849,0.609414,e
0.482622,0.256415,c
0.540167,0.313815,c
0.389635,0.491314,c
0.936675,0.832302,e
0.328964,0.809151,c
0.586181,0.49281,c
0.524216,0.501303,c
0.735995,0.171585,c
0.354608,0.345565,c
0.967209,0.727708,e
0.585664,0.40938,c
0.353536,0.366655,c
0.917626,0.493816,c
0.695979,0.502775,c
0.581581,0.109199,c
0.965869,0.920404,e
0.030615,0.245084,e
0.067259,0.709627,c
0.936272,0.642651,c
0.455591,0.322375,c
0.865898,0.06839,c
0.560773,0.872937,c
0.573201,0.240808,c
0.324271,0.01054,e
0.727025,0.381768,c
0.031415,0.453586,e
0.089861,0.061797,e
0.404867,0.421082,c
0.50754,0.61069,c
0.277615,0.009546,e
0.748572,0.641636,e
0.249955,0.780416,c
0.461096,0.060034,c
0.829571,0.088291,a
0.884333,0.678621,c
0.781725,0.227271,c
0.023,0.420903,c
0.312994,0.50735,c
0.216995,0.846206,c
0.14497,0.217654,e
0.587409,0.301503,c
0.984633,0.780958,e
0.836595,0.381824,c
0.625208,0.935913,c
0.71786,0.634256,c
0.666645,0.765582,c
0.882144,0.826949,e
0.863576,0.934699,e
0.573851,0.990622,c
0.942753,0.387936,c
0.915775,0.223265,c
0.949039,0.454501,c
0.790218,0.715583,e
0.464462,0.049754,c
0.77044,0.542997,c
0.596667,0.435845,c
0.525209,0.471285,c
0.704981,0.400192,c
0.65218,0.769917,c
0.693669,0.461414,c
0.476592,0.479698,c
0.541404,0.413936,c
0.837857,0.327262,c
0.718463,0.532034,c
0.027616,0.934359,a
0.151483,0.196482,e
0.381084,0.525653,c
0.193568,0.706942,c
0.297245,0.166862,c
0.522801,0.050486,c
0.626085,0.259665,c
0.231932,0.399094,c
0.278843,0.728924,c
0.642608,0.540898,c
0.094565,0.174049,e
0.747847,0.539865,c
0.3999,0.92939,c
0.460748,0.14754,c
0.730106,0.838945,e
0.26875,0.964618,c
0.704526,0.614157,c
0.474906,0.194622,c
0.458401,0.176203,c
0.755881,0.725318,e
0.383666,0.392524,c
0.214716,0.868732,a
0.119659,0.481755,c
0.264036,0.732697,c
0.755637,0.671903,c
0.262855,0.625665,c
0.435091,0.811549,c
0.392854,0.288202,c
0.336408,0.969373,c
0.035287,0.068378,e
0.918959,0.880256,e
0.672992,0.216018,c
0.655601,0.898496,e
0.250433,0.092447,e
0.739163,0.909525,e
0.824576,0.192058,a
0.043682,0.338895,c
0.98195,0.189928,c
0.365058,0.473429,c
0.53951,0.861826,c
0.100541,0.765387,c
0.59979,0.406868,c
0.914252,0.99145,e
0.680437,0.528564,c
0.814465,0.565613,c
0.073567,0.81766,c
0.254384,0.19257,e
0.935027,0.07532,a
