@relation dataTrain

@attribute x1 numeric
@attribute x2 numeric
@attribute class {a,c,e}

@data
0.797035,0.377778,c
0.746354,0.532451,c
0.129529,0.930756,c
0.774954,0.081347,c
0.100563,0.758576,c
0.141195,0.904044,c
0.139567,0.854916,a
0.69846,0.350399,c
0.480163,0.56375,c
0.220535,0.25605,e
0.137824,0.761454,c
0.925154,0.357197,c
0.086408,0.33847,e
0.357376,0.03392,e
0.714808,0.383446,c
0.926744,0.99886,e
0.524266,0.206401,c
0.698401,0.079974,c
0.104994,0.872804,a
0.043403,0.106939,e
0.916354,0.958876,e
0.492348,0.858812,c
0.278955,0.322705,c
0.168051,0.910771,a
0.938861,0.248412,c
0.976305,0.276668,c
0.371924,0.010259,c
0.255199,0.681138,c
0.498512,0.598154,c
0.062069,0.525112,c
0.330021,0.743373,c
0.141204,0.94747,c
0.034091,0.683188,c
0.409846,0.802593,c
0.958031,0.028199,a
0.805237,0.708914,e
0.923591,0.267106,c
0.526176,0.107312,c
0.312324,0.764188,c
0.612511,0.385564,c
0.983107,0.097239,a
0.006919,0.668411,c
0.42223,0.291696,c
0.042591,0.859766,a
0.403955,0.148399,e
0.222906,0.175438,e
0.259267,0.248216,c
0.921929,0.680917,e
0.440937,0.545081,c
0.122204,0.51752,c
0.539943,0.143879,c
0.842636,0.190025,a
0.859317,0.365827,c
0.291808,0.581272,c
0.868216,0.440589,c
0.727376,0.7499,c
0.811964,0.474136,c
0.195403,0.578934,c
0.03838,0.372089,c
0.533392,0.744796,c
0.756552,0.58069,c
0.487109,0.742271,c
0.323657,0.703758,c
0.619775,0.915108,c
0.069658,0.762983,c
0.345562,0.896168,c
0.142259,0.122855,e
0.101882,0.289929,c
0.293372,0.916107,c
0.899228,0.977807,e
0.944516,0.232859,c
0.438496,0.03648,c
0.453275,0.340044,c
0.41561,0.798109,c
0.177043,0.511516,c
0.339634,0.035291,c
0.496608,0.977098,c
0.151328,0.868077,c
0.48333,0.853202,c
0.158904,0.929264,a
0.922511,0.168551,c
0.371843,0.301502,e
0.967298,0.642702,c
0.749176,0.274334,c
0.907469,0.073273,a
0.978122,0.243887,a
0.877288,0.112104,a
0.066796,0.987229,a
0.179476,0.706576,c
0.793577,0.773892,e
0.332331,0.328701,c
0.641615,0.75412,c
0.516669,0.812746,c
0.074382,0.895162,a
0.59207,0.837647,c
0.110706,0.034215,e
0.648504,0.042419,c
0.2401,0.96287,a
0.433635,0.032198,c
