Gene 	Sample	T 27	T 29	T34	T 28	T 35	T 8	T 3	T 9	T 4	T 32	T 39	T 10	T 33	T 5	T 11	T 6	T 12	T 40	N 27	N 29	N 34 	N 28	N 35	N 8	N 3	N9	N 4	N 32	N 39	N 10	N 33	N 5	N 11	N 6	N 12	N 40																																																	
b-actin-3		797	1298	862	1047	1253	1452	1673	1736	1481	1244	900	1686	897	1655	1382	1533	1214	1026	1466	1308	1174	1026	1496	1179	1933	2463	1720	1136	1039	2133	1037	2066	1396	2391	2866	1265																																																	
b-actin-5		559	409	667	643	437	899	310	607	367	765	615	416	508	280	647	195	47	456	944	1169	1320	1172	1128	21	1065	478	1048	1033	897	678	1013	467	1090	705	373	883																																																	
b-actin-M		849	1093	961	1100	844	1613	745	937	800	1175	963	955	1018	652	1169	646	188	716	2022	1603	1722	1743	1722	213	1973	921	1792	1450	1601	1583	1736	1546	1823	1820	981	1673																																																	
BioB		-2	-11	-17	-1	-14	-8	-13	31	-24	-17	-6	-25	-6	7	-2	-27	9	-6	-5	-7	-13	-12	-4	14	-25	29	-23	-10	-13	-25	-12	-10	3	-3	-24	-14																																																	
BioC		12	9	17	18	10	53	-2	57	-15	54	15	-2	13	-1	71	-14	27	10	11	4	9	22	14	99	-16	68	-16	13	14	-10	14	-18	75	-20	22	3																																																	
BioD		107	65	108	95	94	473	93	161	60	232	107	122	126	259	476	134	88	135	102	68	97	113	120	729	88	187	58	104	117	142	123	207	461	137	289	82																																																	
cre		246	414	449	369	345	1067	5	2714	3	852	386	5	300	613	1187	289	1373	266	307	296	345	424	463	1712	1	3052	4	377	276	5	293	284	1093	229	1660	227																																																	
gapdh-3		1214	1394	1252	1313	1292	1744	2066	2092	2083	1968	2054	1711	1263	1541	3142	1677	1938	1329	1083	1135	973	917	876	2113	1473	1693	2083	1104	1130	1921	1210	1385	1336	1417	1476	1048																																																	
gapdh-5		676	477	635	785	497	589	328	557	524	804	943	376	514	294	1332	277	136	545	419	400	479	227	328	414	307	287	649	463	412	341	377	216	475	310	187	437																																																	
gapdh-M		873	609	754	1013	669	1029	566	955	877	1101	1320	705	701	544	2018	549	526	828	530	550	601	475	420	875	649	621	1129	581	523	789	466	497	681	522	476	529																																																	
Trans.Rec-3		31	18	38	19	10	5	2	5	10	17	22	10	30	11	18	9	7	21	10	30	22	15	7	2	10	-16	1	30	21	5	10	6	10	-1	-11	11																																																	
Trans.Rec-5		6	13	-10	8	-15	-9	-15	-17	-12	-11	-5	-12	9	-6	-6	-10	-15	-1	7	5	-11	0	-16	-9	-24	-13	-17	-17	6	-33	2	-15	-9	-12	-11	8																																																	
Trans.Rec-M		15	13	11	18	-2	-8	-6	-4	-7	18	5	-5	21	-7	4	-1	-6	14	12	2	2	6	-4	-5	-12	-13	-6	-5	13	-28	-1	-11	-5	-10	-16	13																																																	
